ldf_num,condition,partnersExposure,label,exposures,trueClickPoints,trueLabelPoints,pointCost,speechCost,testCorrect,known,estimated_p,appearance,method,score,action
7,100_30,0,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,3,point,30,speak
7,100_30,0,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,1,teach,30,teach
7,100_30,0,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,2,teach,30,speak
7,100_30,0,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,3,teach,30,speak
8,100_30,0,blicket,1,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,blicket,1,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,speak
8,100_30,0,blicket,1,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,dax,1,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,point
8,100_30,0,dax,1,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,teach
8,100_30,0,dax,1,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,fep,4,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,fep,4,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,point
8,100_30,0,fep,4,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,point
8,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,teach
8,100_30,0,gazzer,4,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,speak
8,100_30,0,kiv,1,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,teach
8,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,point
8,100_30,0,kreeb,4,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,manu,2,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,manu,2,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,speak
8,100_30,0,manu,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,toma,2,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,point
8,100_30,0,toma,2,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,teach
8,100_30,0,toma,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,speak
8,100_30,0,wug,2,30,100,70,0,1,TRUE,0.9072033473374291,1,teach,30,teach
8,100_30,0,wug,2,30,100,70,0,1,TRUE,0.9072033473374291,2,speak,100,speak
8,100_30,0,wug,2,30,100,70,0,1,TRUE,0.9072033473374291,3,speak,100,point
9,100_30,2,blicket,2,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,speak
9,100_30,2,blicket,2,30,100,70,0,1,TRUE,0.5040335268788675,2,speak,100,speak
9,100_30,2,blicket,2,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
9,100_30,2,dax,2,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,teach
9,100_30,2,dax,2,30,100,70,0,1,TRUE,0.5040335268788675,2,speak,100,speak
9,100_30,2,dax,2,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
9,100_30,2,fep,4,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,teach
9,100_30,2,fep,4,30,100,70,0,1,TRUE,0.5040335268788675,2,speak,100,point
9,100_30,2,fep,4,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
9,100_30,2,gazzer,1,30,100,70,0,0,FALSE,0.5040335268788675,1,point,30,point
9,100_30,2,gazzer,1,30,100,70,0,0,FALSE,0.5040335268788675,2,point,30,point
9,100_30,2,gazzer,1,30,100,70,0,0,FALSE,0.5040335268788675,3,point,30,point
9,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.5040335268788675,1,point,30,point
9,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.5040335268788675,2,point,30,point
9,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.5040335268788675,3,point,30,point
9,100_30,2,kreeb,1,30,100,70,0,0,FALSE,0.5040335268788675,1,point,30,point
9,100_30,2,kreeb,1,30,100,70,0,0,FALSE,0.5040335268788675,2,point,30,point
9,100_30,2,kreeb,1,30,100,70,0,0,FALSE,0.5040335268788675,3,point,30,point
9,100_30,2,manu,4,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,speak
9,100_30,2,manu,4,30,100,70,0,1,TRUE,0.5040335268788675,2,speak,100,speak
9,100_30,2,manu,4,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
9,100_30,2,toma,4,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,speak
9,100_30,2,toma,4,30,100,70,0,1,TRUE,0.5040335268788675,2,speak,100,speak
9,100_30,2,toma,4,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
9,100_30,2,wug,2,30,100,70,0,1,TRUE,0.5040335268788675,1,speak,100,teach
9,100_30,2,wug,2,30,100,70,0,1,TRUE,0.5040335268788675,2,point,30,speak
9,100_30,2,wug,2,30,100,70,0,1,TRUE,0.5040335268788675,3,speak,100,speak
10,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.4748379096237692,1,teach,30,point
10,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.4748379096237692,2,speak,100,point
10,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.4748379096237692,3,speak,100,point
10,100_30,2,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,1,speak,100,speak
10,100_30,2,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,2,speak,100,speak
10,100_30,2,dax,1,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,speak
10,100_30,2,fep,2,30,100,70,0,0,FALSE,0.4748379096237692,1,point,30,point
10,100_30,2,fep,2,30,100,70,0,0,FALSE,0.4748379096237692,2,point,30,point
10,100_30,2,fep,2,30,100,70,0,0,FALSE,0.4748379096237692,3,teach,30,point
10,100_30,2,gazzer,2,30,100,70,0,1,TRUE,0.4748379096237692,1,speak,100,point
10,100_30,2,gazzer,2,30,100,70,0,1,TRUE,0.4748379096237692,2,speak,100,point
10,100_30,2,gazzer,2,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,speak
10,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.4748379096237692,1,point,30,point
10,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.4748379096237692,2,point,30,point
10,100_30,2,kiv,1,30,100,70,0,0,FALSE,0.4748379096237692,3,point,30,point
10,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,1,speak,100,speak
10,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,2,speak,100,teach
10,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,speak
10,100_30,2,manu,4,30,100,70,0,1,TRUE,0.4748379096237692,1,point,30,speak
10,100_30,2,manu,4,30,100,70,0,1,TRUE,0.4748379096237692,2,teach,30,speak
10,100_30,2,manu,4,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,speak
10,100_30,2,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,1,speak,100,teach
10,100_30,2,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,2,speak,100,speak
10,100_30,2,toma,4,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,teach
10,100_30,2,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,1,speak,100,speak
10,100_30,2,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,2,speak,100,speak
10,100_30,2,wug,2,30,100,70,0,1,TRUE,0.4748379096237692,3,speak,100,teach
11,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,1,point,30,point
11,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,2,point,30,point
11,100_30,2,blicket,1,30,100,70,0,0,FALSE,0.612225058736175,3,point,30,point
11,100_30,2,dax,4,30,100,70,0,1,TRUE,0.612225058736175,1,speak,100,speak
11,100_30,2,dax,4,30,100,70,0,1,TRUE,0.612225058736175,2,speak,100,speak
11,100_30,2,dax,4,30,100,70,0,1,TRUE,0.612225058736175,3,speak,100,speak
11,100_30,2,fep,2,30,100,70,0,1,TRUE,0.612225058736175,1,point,30,teach
11,100_30,2,fep,2,30,100,70,0,1,TRUE,0.612225058736175,2,point,30,point
11,100_30,2,fep,2,30,100,70,0,1,TRUE,0.612225058736175,3,point,30,speak
11,100_30,2,gazzer,4,30,100,70,0,1,TRUE,0.612225058736175,1,speak,100,speak
11,100_30,2,gazzer,4,30,100,70,0,1,TRUE,0.612225058736175,2,speak,100,speak
11,100_30,2,gazzer,4,30,100,70,0,1,TRUE,0.612225058736175,3,speak,100,point
11,100_30,2,kiv,2,30,100,70,0,1,TRUE,0.612225058736175,1,speak,100,point
11,100_30,2,kiv,2,30,100,70,0,1,TRUE,0.612225058736175,2,speak,100,speak
11,100_30,2,kiv,2,30,100,70,0,1,TRUE,0.612225058736175,3,speak,100,point
11,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,1,speak,100,speak
11,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,2,speak,100,speak
11,100_30,2,kreeb,4,30,100,70,0,1,TRUE,0.612225058736175,3,speak,100,speak
11,100_30,2,manu,2,30,100,70,0,1,TRUE,0.612225058736175,1,speak,100,point
11,100_30,2,manu,2,30,100,70,0,1,TRUE,0.612225058736175,2,speak,100,speak
11,100_30,2,manu,2,30,100,70,0,1,TRUE,0.612225058736175,3,speak,100,speak
